Erro = type:KeyError | message: 'music_not_status_data' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\RewardEvents.py', 'name': 'save_music_config', 'lineno': 3393}] | time: 22/11/2022 14:51:03 
Erro = type:KeyError | message: 'music_not_status_data' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\RewardEvents.py', 'name': 'save_music_config', 'lineno': 3394}] | time: 22/11/2022 14:52:11 
Erro = type:TypeError | message: Object of type TextIOWrapper is not JSON serializable | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\RewardEvents.py', 'name': 'save_music_config', 'lineno': 3421}, {'filename': 'C:\\Users\\jhefe\\AppData\\Local\\Programs\\Python\\Python310\\lib\\json\\__init__.py', 'name': 'dump', 'lineno': 179}, {'filename': 'C:\\Users\\jhefe\\AppData\\Local\\Programs\\Python\\Python310\\lib\\json\\encoder.py', 'name': '_iterencode', 'lineno': 438}, {'filename': 'C:\\Users\\jhefe\\AppData\\Local\\Programs\\Python\\Python310\\lib\\json\\encoder.py', 'name': 'default', 'lineno': 179}] | time: 22/11/2022 14:53:10 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 101}] | time: 22/11/2022 15:09:07 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 101}] | time: 22/11/2022 15:09:10 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 101}] | time: 22/11/2022 15:09:12 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 101}] | time: 22/11/2022 15:09:23 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 101}] | time: 22/11/2022 15:09:25 
Erro = type:FileNotFoundError | message: [Errno 2] No such file or directory: 'web/src/player/images/album.webp' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 98}, {'filename': 'C:\\Users\\jhefe\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\PIL\\Image.py', 'name': 'open', 'lineno': 3131}] | time: 22/11/2022 15:11:36 
Erro = type:FileNotFoundError | message: [Errno 2] No such file or directory: 'web/src/player/images/album.webp' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 98}, {'filename': 'C:\\Users\\jhefe\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\PIL\\Image.py', 'name': 'open', 'lineno': 3131}] | time: 22/11/2022 15:11:40 
Erro = type:FileNotFoundError | message: [Errno 2] No such file or directory: 'web/src/player/images/album.webp' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 98}, {'filename': 'C:\\Users\\jhefe\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\PIL\\Image.py', 'name': 'open', 'lineno': 3131}] | time: 22/11/2022 15:11:43 
